id,Project,Subject,Type,Parent,Status,Priority,Author,Assignee,Updated on,Category,Version,Created on,Story Points,Remaining hours,Description
577854,Android,"[Tracking]modrefname, call_duration, query_ref_type data not saved post clicking on call cta on post purchase BL popup",Product Bug,,Closed,Medium,Priyanka Chittimelli,Mansi Gupta1,2025-04-08T05:27:56Z,BL_Webview,13.4.5,2025-04-01T07:18:25Z,,,"### **Actual Behavior**

**modrefname, call\_duration, query\_ref\_type data not saved post clicking on call cta on post purchase BL popup**

### **Expected Behavior**

**modrefname, call\_duration, query\_ref\_type data should be saved on  post clicking on call cta on post purchase BL popup- recent BL and Relevant BL listing**

### **Steps to reproduce:**

1.  Login as 1000001996
2.  navigate to buyleads
3.  consume a lead
4.  click on call now cta on post bl purchase pop-up
5.  Check the entries in db

### **Test Environment**:

1.  **Device:** IQOO Z9 5g Mobile
2.  **Environment**: Stage
3.  **Operating System:** Android 14"
577855,Android,"[Tracking ]c2c_click_at, modrefname, call_duration, query_ref_type data not saved post clicking on call now cta post purchase Bl card on listing",Product Bug,,Closed,Medium,Priyanka Chittimelli,Mansi Gupta1,2025-04-08T05:28:53Z,BL_Webview,13.4.5,2025-04-01T07:22:14Z,,,"### **Actual Behavior**

**c2c\_click\_at, modrefname, call\_duration, query\_ref\_type data not saved post clicking on call now cta post purchase Bl card on listing**

### **Expected Behavior**

**c2c\_click\_at, modrefname, call\_duration, query\_ref\_type data should be saved while post clicking on call now cta post purchase Bl card on listing**

### **Steps to reproduce:**

1.  Login as 1000001996.
2.  navigate to buyleads.
3.  consume a lead.
4.  close the post bl purchase pop-up.
5.  Click on call now cta on buylead card on bl listing.
6.  Check the entries in db

### **Test Environment**:

1.  **Device:** IQOO Z9 5g Mobile
2.  **Environment**: Stage
3.  **Operating System:** Android 14"
577861,Android,Pns fail notification is not shown unmerged when multiple notification received.,Product Bug,,Rejected,Medium,Shubham Panigrahi,Sumit Ranjan,2025-04-02T05:38:24Z,Android Enq Notifications,Android-13.4.6_S2,2025-04-01T07:29:51Z,,,"### **Actual Behavior**

Pns fail notification is not shown unmerged when multiple notification received.

### **Expected Behavior**

PNS fail notification should always display unmerged for paid seller

### **Steps to reproduce:**

1.  login as 1000001996
2.  Now wait for pns fail notification and enquiry/astbuy notification along with other type of notification ( new buylead ,rating received ,afr)
3.  Check enquiry and astbuy notification is shown unmerged
4.  pns fail notification is shown merged with other type of notification

<img class=""op-uc-image op-uc-image_inline"" src=""/api/v3/attachments/650470/content"">  <img class=""op-uc-image op-uc-image_inline"" src=""/api/v3/attachments/650471/content"">

### **Test Environment**:

1.  **Device:** Realme 10 pro plus
2.  **Environment**: Stage
3.  **Operating System:** android 14

###"
577867,IM-iOS Native,User not able to give negative feedback on first app load,Product Bug,,Closed,Medium,Prabhleen Kaur,Rohit Sharma,2025-04-08T05:30:52Z,,,2025-04-01T07:35:11Z,,,"### **Actual Behavior**

User not able to give negative feedback on first app load. And for subsequent loads, the data in thumbs down popup is shown of last chat, and last product.

### **Expected Behavior**

Negative Feedback options should be visible, and should be uptodate with current chat, and current product.

### **Steps to reproduce:**

1.  Login with a Seller account
2.  Open LMS
3.  Open a chat
4.  Give Negative Feedback on Enq/BL
5.  Observe
6.  &quot;Something went wrong&quot; pops up

### **Test Environment**:

1.  **Device:** Mobile
2.  **Environment**: Stage

### **Bug Type**

Functional/Logical"
577868,Android,Buyer name and location is not shown below title in expanded mode of astbuy notification ,Product Bug,,Closed,Medium,Shubham Panigrahi,Sumit Ranjan,2025-04-04T04:46:02Z,Android Enq Notifications,Android-13.4.6_S2,2025-04-01T07:37:37Z,,,"### **Actual Behavior**

Buyer name and location is not shown below title in expanded mode of astbuy notification 

Same is happening for enquiry notification having no photo

### **Expected Behavior**

Astbuy supplier notification should contain following elements (expanded mode) :

*   Title : &quot; Hi &lt;buyer name&gt;, you have 1 new enquiry for &lt;product name&gt; &quot;in bold font
*   buyer name,location on second line
*   Templates - Share catalog link, Time to talk
*   Call and reply cta

### **Steps to reproduce:**

1.  login as 1000001996
2.  wait for astbuy notification 
3.  check the notification in expanded mode

<img class=""op-uc-image op-uc-image_inline"" src=""/api/v3/attachments/650478/content"">

### **Test Environment**:

1.  **Device:** Realme 10 pro plus
2.  **Environment**: Stage
3.  **Operating System:** android 14

###"
577870,IM-iOS Native,Crash in LMS,Product Bug,,Closed,Medium,Prabhleen Kaur,Rohit Sharma,2025-04-09T04:12:08Z,,,2025-04-01T07:38:21Z,,,"### **Actual Behavior**

1.  [https://console.firebase.google.com/u/0/project/artful-affinity-634/crashlytics/app/ios:com.indiamart.m/issues/f07279eb4e9e3449c9430364172d4f5a?time=last-thirty-days&amp;types=crash](https://console.firebase.google.com/u/0/project/artful-affinity-634/crashlytics/app/ios:com.indiamart.m/issues/f07279eb4e9e3449c9430364172d4f5a?time=last-thirty-days&types=crash)
2.  [https://console.firebase.google.com/u/0/project/artful-affinity-634/crashlytics/app/ios:com.indiamart.m/issues/b936d0b1e3e4b5d52c581209076b2e1b?time=last-thirty-days&amp;types=crash](https://console.firebase.google.com/u/0/project/artful-affinity-634/crashlytics/app/ios:com.indiamart.m/issues/b936d0b1e3e4b5d52c581209076b2e1b?time=last-thirty-days&types=crash)

### **Expected Behavior**

App should not crash

### **Steps to reproduce:**

1.  Go to page X
2.  Click on button Y
3.  Select Foo

### **Test Environment**:

1.  **Device:** Desktop/Mobile
2.  **Environment**: Stage/Production:
3.  **Operating System:** e.g. Centos 7 / Ubuntu 20.04/ Windows 10 Pro
4.  **Browser/Version:** e.g. Google Chrome 89.0.4389.90 (64 bit)"
577921,Android,"The app crashes when the user searches for a photo, navigates back before receiving the result, and then clicks on photo search again.",Product Bug,,Closed,High,Sharan S,Tarun Yadav,2025-04-04T07:29:38Z,Buyer Common,Android-13.4.6_S2,2025-04-01T10:03:34Z,,,"### **Actual Behavior**

The app crashes when the user searches for a photo, navigates back before receiving the result, and then clicks on photo search again.

crash Link- https://console.firebase.google.com/u/0/project/artful-affinity-634/crashlytics/app/android:com.indiamart.m/issues/4b35a1d598cd78fa089bc98ab3f9081c?time=last-thirty-days&amp;types=crash&amp;versions=13.4.6\_S231MAR25%20(674)&amp;sessionEventKey=67EBB59703A300016B719C7B3B3F4319\_2066724862657907111

### **Expected Behavior**

The app should handle the scenario gracefully by either canceling the previous search request or displaying the previous search results when the user reinitiates the photo search, without crashing

### **Steps to reproduce:**

1.  Login with Buyer
2.  Click on photo search
3.  Upload a photo
4.  While results are loading click home button
5.  Again click photo seearch icon
6.  Click on upload photo cta
7.  App is getting crashed

### **Test Environment**:

1.  **Device:** Redmi note 9 pro max
2.  **Environment**: Stage
3.  **Operating System:** Android 12"
577925,Android,Infinite loader when user search for invalid text like # or . at search page.,Product Bug,,Reopen,Low,madhur Kumar,Duddu Yuvaraju,2025-05-20T12:30:21Z,Search_webview,Android-13.4.6_S2,2025-04-01T10:12:28Z,,,"### **Actual Behavior**

Infinite loader when user search for invalid text like # or . at search page.

### **Expected Behavior**

No results should be shown

### **Steps to reproduce:**

1.  Login as a buyer.
2.  Now navigate to search page and search for . or &quot;#&quot;
3.  Now observe infinite loader at search page.

### **Test Environment**:

1.  **Device:** Mobile
2.  **Environment**: Stage
3.  **Operating System:** Android 11"
577926,Android,"""Webpage is not available"" is visible on search page.",Product Bug,,Closed,Low,madhur Kumar,Duddu Yuvaraju,2025-05-22T11:00:17Z,Search_webview,Android-13.4.6_S2,2025-04-01T10:16:47Z,,,"### **Actual Behavior**

&quot;Webpage is not available&quot; is visible on search page.

### **Expected Behavior**

The data should be loaded.

### **Steps to reproduce:**

1.  Login as a new buyer.
2.  Now navigate from buy page at buy/sell page and search for a product.
3.  Now click on product name at filter to reach impcat page 
4.  Now click back and land on dashboard.
5.  Click search bar and then click the same product &quot;first search&quot; from suggested actions.
6.  Observe that the page throws and error. &quot;Webpage is not available&quot; 

### **Test Environment**:

1.  **Device:** Mobile
2.  **Environment**: Stage
3.  **Operating System:** Android 11

  

<img class=""op-uc-image op-uc-image_inline"" src=""/api/v3/attachments/650566/content"">"
577929,Android,"In case of a new verified buyer, name is again asked while sending an enquiry from buy cta at buy/sell page after login.",Product Bug,,In Progress,Low,madhur Kumar,Tarun Yadav,2026-01-02T12:20:32Z,Search_webview,Android-13.4.6_S2,2025-04-01T10:24:10Z,,,"### **Actual Behavior**

In case of a new verified buyer, name is again asked while sending an enquiry from buy cta at buy/sell page after login.

### **Expected Behavior**

The name should be visible and should not be asked again.

### **Steps to reproduce:**

1.  Login as a new buyer.
2.  Put in all the details. Name email pincode.
3.  Now click on buy at buy sell page and search for a product.
4.  Now send an enquiry for a product.
5.  observe that first name is asked from the user.

### **Test Environment**:

1.  **Device:** Mobile
2.  **Environment**: Stage
3.  **Operating System:** Android 11

  

<img class=""op-uc-image op-uc-image_inline"" src=""/api/v3/attachments/650573/content"">"
577934,Android,The 'Upload Photo' CTA is getting hidden by the footer menu on the image preview screen in photo search.(Intermittent),Product Bug,,Closed,Medium,Sharan S,Tarun Yadav,2025-04-04T11:12:14Z,Buyer Common,Android-13.4.6_S2,2025-04-01T10:31:59Z,,,"### **Actual Behavior**

The &#39;Upload Photo&#39; CTA is getting hidden by the footer menu on the image preview screen in photo search(Intermittent)

### **Expected Behavior**

The &#39;Upload Photo&#39; CTA should be clearly visible and accessible above the footer menu on the image preview screen to ensure a smooth user experience.

### **Steps to reproduce:**

1.  Login with 1233547888
2.  Click on Photo search icon
3.  Select any photo
4.  Navigate to image preview screen

### **Test Environment**:

1.  **Device:** Redmi note 9 pro max
2.  **Environment**: Stage
3.  **Operating System:** Android 12"
577935,IM-iOS Native,User is redirected to m-site when clicked on Reply CTA of new enquiry mail.,Product Bug,,Closed,Medium,freeda fernandes,Neeli Akash,2025-08-11T12:55:41Z,,,2025-04-01T10:33:36Z,,,"### **Actual Behavior**

User is redirected to m-site when clicked on Reply CTA of new enquiry mail.

### **Expected Behavior**

User should be redirected to LMS chat screen.

### **Steps to reproduce:**

1.  Login as paid seller.
2.  Open an Enquiry mail and click on reply CTA
3.  User is redirected to m-site.

### **Test Environment**:

1.  **Device:** iPhone SE
2.  **Environment**: Stage
3.  **Operating System:** iOS 18.3.0

###"
577941,IM-iOS Native,"When user shortlist any BL, same BL not display as shortlisted on BL search page at real time",Product Bug,,Rejected,Low,Anjali Patel,Agarwal Lucky,2025-07-02T06:19:00Z,,,2025-04-01T10:45:29Z,,,"### **Actual Behavior**

User search any BL and marked as shortlist, same BL is display on shortlisted  BL listing tab. When user again search the same , same Bl is not display as shortlisted on BL search page.

### **Expected Behavior**

If BL is shortlisted then it should be display as shortlisted on all screens

### **Steps to reproduce:**

1.  login as seller
2.  go to BL
3.  search any product, marked any BL shortlist
4.  observe that same BL is display in shortlist tab
5.  now again search for same product and check same bL is not marked as shortlisted

### **Test Environment**:

1.  **Device:** iphone13
2.  **Environment**: Stage
3.  **Operating System:** 18.3.1
4.  **Browser/Version:** 13.4.5

### **User Type**

User should be defined based on Indian or Foreign or Both

### **Bug Type**

Specify the bug types: UI/UX, Functional/Logical, Black Box &amp; White Box etc

### **Bug Source**

Specify the bug sources: Launch, Smoke Testing, Group Testing, Testing Request, Security Testing, Pagespeed Testing, User Journey Testing"
577957,Android,"In the old PBR chat flow , Tracking for Question 2 (the question after Quantity) is not going properly in the existing old funnel",Product Bug,,Closed,Medium,Prithvi Guha,Tarun Yadav,2025-04-17T05:01:07Z,,,2025-04-01T11:13:27Z,,,"### **Actual Behavior**

<img class=""op-uc-image op-uc-image_inline"" style=""width:779px;"" src=""/api/v3/attachments/650601/content"">

### **Expected Behavior**

<img class=""op-uc-image op-uc-image_inline"" style=""width:176px;"" src=""/api/v3/attachments/650602/content"">

these fields are also required"
577961,IM-iOS Native,"After purchasing tenders, ""View Tender details "" CTA not clickable",Product Bug,,Closed,Medium,Anjali Patel,Agarwal Lucky,2025-04-21T10:32:27Z,,,2025-04-01T11:22:25Z,,,"### **Actual Behavior**

 &quot;View Tender details &quot; CTA not clickable, when suer purchase any tender 

<img class=""op-uc-image op-uc-image_inline"" style=""width:240px;"" src=""/api/v3/attachments/650613/content"">

### **Expected Behavior**

 &quot;View Tender details &quot; CTA should be clickable so user can see the details of tender

### **Steps to reproduce:**

1.  login as seller
2.  go to Buyleads &gt;&gt; context menu &gt;&gt; latest  tenders
3.  purchase any tender
4.  clicks on View tender details CTA 
5.  OR clicks on view details on tender listing page i.e. not clickable

### **Test Environment**:

1.  **Device:** iphone13
2.  **Environment**: Stage
3.  **Operating System:** 18.3.1

###"
577968,Android,Config ISQs are being shown on product cards of bulk add pages excluding add multiple product floating cta journey,Product Bug,,Closed,Medium,Akhileswara Rao,Naman Budhiraja,2025-07-07T17:14:33Z,My Products,Android-13.4.6_S2,2025-04-01T11:42:46Z,,,"### **Actual Behavior**

Config ISQs are being shown on product cards of bulk add pages excluding add multiple product floating cta journey

### **Expected Behavior**

Config ISQs should not be shown on product cards of bulk add pages excluding add multiple product floating cta journey

### **Steps to reproduce:**

1.  login with 1382235598
2.  navigate to product listing page and scroll to bottom
3.  click on add more product to get more enquiries widget on bottom of listing page,click on add more cta of manage products widget on seller dashboard,click on add more cta of add more photos widget on seller dashboard
4.  enter any product name with config ISQ on any product card on above Bulk add page journeys
5.  observe Config ISQs are being shown on product cards of bulk add pages excluding add multiple product floating cta journey

### **Test Environment**:

1.  **Device:** iqoo z6
2.  **Environment**: Stage
3.  **Operating System:** android 14"
577970,Android,User is able to play multiple audio file at same time in lms conversation screen ,Product Bug,,Closed,Medium,Shubham Panigrahi,Sumit Ranjan,2025-04-21T11:58:49Z,LeadManager,Android-13.4.6_S2,2025-04-01T11:45:57Z,,,"### **Actual Behavior**

User is able to play multiple audio file at same time in lms conversation screen 

### **Expected Behavior**

If user clicked on one audio file, on clicking duration bar/play button of second audio file, first audio file playing should stop.

### **Steps to reproduce:**

1.  login as 8587853082
2.  Now send 2-3 audio file to any user
3.  Play first audio file 
4.  Now click on duration bar in second audio file
5.  Both the audio files are playing 
6.  Even if user stop playing one audio file , other audio files still plays in background
7.  It stops only when user remove the app from background.

### **Test Environment**:

1.  **Device: Realme 10 pro plus**
2.  **Environment**: Stage
3.  **Operating System: android 14**"
577983,Android,When we change the unit in enquiry form and clicking on back cta the enquiry is generated ,Product Bug,,Closed,Medium,Sachin Naik,Muskan 1,2025-04-04T06:15:41Z,Buyer Common,Android-13.4.6_S2,2025-04-01T12:06:10Z,,,"### **Actual Behavior**

When we change the unit in enquiry form and clicking on back cta the enquiry is generated 

### **Expected Behavior**

Enquiry should not generate until clicking on next cta in quantity question   

### **Steps to reproduce:**

1.  Login with paid seller 1008524699
2.  Navigate to buyer pages 
3.  Click on get best price cta 
4.  In enquiry form chnage the quantity unit 
5.  Now click device back cta /back arrow 
6.  Navigate to listing and observe the enquiry is generated and check in db as well enquiry data is saved 

### **Test Environment**:

1.  **Device:** vivo y21e
2.  **Environment**: Stage
3.  **Operating System:** Android 12"
577987,Android,"If the user is on the seller dashboard screen and relaunches the app after 24 hours, the LMS listing screen is opening (intermittent)",Product Bug,,Closed,Low,Shubham Panigrahi,Anuj Vishwakarma,2025-06-17T05:25:25Z,LeadManager,Android-13.4.6_S2,2025-04-01T12:20:50Z,,,"### **Actual Behavior**

If the user is on the seller dashboard screen and relaunches the app after 24 hours, the LMS listing screen is opening if the default landing is not buylead previous screen visited lms screen before seller dashboard(intermittent)

### **Expected Behavior**

Describe the expected behavior.

### **Steps to reproduce:**

1.  login as any paid seller 
2.  Now visit lms listing screen
3.  navigate back to seller dashboard
4.  Remove the app from background
5.  open the app after 24 hours
6.  user redirected to lms listing screen
7.  This issue is replicating intemittently

### **Test Environment**:

1.  **Device:** Realme 10 pro plus
2.  **Environment**: Stage
3.  **Operating System:** android 14"
578003,Android,"Enquiries for you and LMS is opening when user clicks on ""No unread replies"" notification for pure buyer.",Product Bug,,Closed,Medium,madhur Kumar,Anuj Vishwakarma,2025-04-04T07:03:02Z,BMC_WEBVIEW,Android-13.4.6_S2,2025-04-01T13:06:31Z,,,"### **Actual Behavior**

Enquiries for you and LMS is opening when user clicks on &quot;No unread replies&quot; notification for pure buyer.

### **Expected Behavior**

BMC should open or notification should not be done.

### **Steps to reproduce:**

1.  Login as a buyer. 6211455563
2.  Now navigate to BMC through &quot;you have 0 new replies&quot;
3.  Observe that email verification is asked.
4.  Verify email, then enquries for you is asked and LMS is getting opened.

### **Test Environment**:

1.  **Device:** Mobile
2.  **Environment**: Stage
3.  **Operating System:** Android 11

Occured twice in my device"
578006,Android,Duplicate country suggestions are displaying in login page ,Product Bug,,Closed,Medium,naveen althi,Shreya Pandey,2025-04-09T10:25:25Z,User Login,,2025-04-01T13:13:37Z,,,"### **Actual Behavior**

Duplicate country suggestions are displaying in login page 

<img class=""op-uc-image op-uc-image_inline"" src=""/api/v3/attachments/650684/content"">

### **Expected Behavior**

dupliacte sugestionswill not display 

### **Steps to reproduce:**

1.  open android app
2.  click drop down CTA for countey in login oage 

### **Test Environment**:

1.  **Device:** Android
2.  **Environment**: Production:
3.  **Operating System:** e.g. Centos 7 / Ubuntu 20.04/ Windows 10 Pro
4.  **Browser/Version:** 13.4.5

###"
578007,Android,Getting 502 Bad Gateway while clicking on Chat with us cta on customer care tab on About indiamart,Product Bug,,Closed,Medium,Priyanka Chittimelli,Shreya Pandey,2025-04-08T05:59:37Z,User Login,Android-13.4.6_S2,2025-04-01T13:14:28Z,,,"### **Actual Behavior**

Getting 502 Bad Gateway while clicking on Chat with us cta on customer care tab on About indiamart

### **Expected Behavior**

Chat with us page should be opened.

### **Steps to reproduce:**

1.  Login as 1435463454.
2.  navigate to about indiamart  from hamburger menu
3.  navigate to customer care tab
4.  Click on chat with us cta.
5.  Observe that we are getting 502 bad gateway error.

### **Test Environment**:

1.  **Device:** IQOO Z9 5g Mobile
2.  **Environment**: Stage
3.  **Operating System:** Android 14"
578010,IM-iOS Native,(Test server) Isq question should be middle aligned while sending enquiry.,Product Bug,,Closed,Medium,madhur Kumar,Rohit Sharma,2025-04-17T12:46:45Z,Web View BMC,,2025-04-01T13:34:32Z,,,"### **Actual Behavior**

(Test server) Isq question should be middle aligned while sending enquiry.

### **Expected Behavior**

The UI should be middle aligned

### **Steps to reproduce:**

1.  Login as a buyer ending with 2
2.  Now navigate to search page and click on get best price of any product.
3.  Now fill the quantity isq.
4.  Now observe the UI orientation of the isq question.

### **Test Environment:**

1.  **Device:** Mobile
2.  **Environment**: Stage
3.  **Operating System: Iphone 11**

<img class=""op-uc-image op-uc-image_inline"" src=""/api/v3/attachments/650698/content"">"
578012,Android,Footer is displaying in bmc conversation screen when we land to that chat from enquiry touchpoint ,Product Bug,,Closed,Medium,Sachin Naik,Tarun Yadav,2025-04-04T05:33:55Z,BMC_WEBVIEW,Android-13.4.6_S2,2025-04-01T13:39:36Z,,,"### **Actual Behavior**

Footer is displaying in bmc conversation screen when we land to that chat from enquiry touchpoint 

### **Expected Behavior**

Footer should not display in conversation screen 

### **Steps to reproduce:**

1.  Login with buyer 1362558888
2.  Navigate to buyer pages 
3.  Click on get best price cta 
4.  Fill the quantity and click on next cta 
5.  Observe the footer menu is displaying hiding the text box 

### **Test Environment**:

1.  **Device:** vivo y21e
2.  **Environment**: Stage
3.  **Operating System:** Android 12"
578013,IM-iOS Native,Product ISQs not display on BL card on recent and relevant listing,Product Bug,,Rejected,Medium,Anjali Patel,Shivam Bansal,2025-04-04T05:31:46Z,,,2025-04-01T13:40:07Z,,,"### **Actual Behavior**

Product ISQs not display on BL card on recent and relevant listing

<img class=""op-uc-image op-uc-image_inline"" style=""width:851px;"" src=""/api/v3/attachments/650700/content"">

### **Expected Behavior**

ISQs should be display

### **Steps to reproduce:**

1.  login with seller
2.  go to buyleads
3.  observe that ISQs not display on BL card

### **Test Environment**:

1.  **Device:** iphone13
2.  **Environment**: Stage
3.  **Operating System:** 18.3.1

###"
578016,Android,Only selecting the isq in additional details without clicking on done cta and clicking on back cta the isq are displaying in enquiry card and saved in db ,Product Bug,,Closed,Medium,Sachin Naik,Muskan 1,2025-04-04T06:21:41Z,Buyer Common,Android-13.4.6_S2,2025-04-01T13:50:56Z,,,"### **Actual Behavior**

Only selecting the isq in additional details without clicking on done cta and clicking on back cta the isq are displaying in enquiry card and saved in db 

### **Expected Behavior**

Isq should not save after selecting and without clicking on done cta 

### **Steps to reproduce:**

1.  Login with paid seller 1008524699
2.  Navigate to buyer pages 
3.  Click on get bestprice cta 
4.  Now enter the qunatity and click on next cta 
5.  Just select the isq in additional details and don&#39;t click on done cta 
6.  Now click back cta and land to the page where get best price cta is clicked 
7.  Now navigate to the LMS listing and open the conversation and observe the selected isq are displyed 
8.  Observe in db as well eto\_attribute table 

### **Test Environment**:

1.  **Device:** vivo y21e
2.  **Environment**: Stage
3.  **Operating System:** Android 12"
